이름,자치구,위도,경도
당곡역.보라매공원.보라매병원,관악구,37.4904418111,126.9276205633
당곡역2번출구.롯데백화점관악점,관악구,37.4900092446,126.9274852912
신림동별빛거리입구,관악구,37.4864151799,126.929060426
신림사거리,관악구,37.482767098,126.9296377666
서원역,관악구,37.4779185578,126.9327230039
서림동주민센터.신화단지,관악구,37.4755291616,126.9363417324
서울대벤처타운역.삼성동시장,관악구,37.4727127526,126.9329597367
대학동고시촌입구,관악구,37.470538,126.938381
서울산업정보학교.삼성교,관악구,37.470573816,126.9420276971
관악산입구.관악아트홀?중앙도서관,관악구,37.4677578665,126.9468707158
당곡역.당곡사거리.롯데백화점,관악구,37.4910041432,126.9270746638
사당역4번출구,관악구,37.4755408508,126.9813590372
남현동홈플러스앞,관악구,37.472373,126.98253
남태령역,관악구,37.46557,126.987784
낙성대입구,관악구,37.4782931407,126.9579938257
삼성동주민센터,관악구,37.4700056074,126.9330211856
미림고개,관악구,37.4681128919,126.9319828921
미림여고.미림마이스터고등학교,관악구,37.465641,126.931333
신우초등학교,관악구,37.462487,126.93169
삼성산성지,관악구,37.458825,126.929865
산장아파트,관악구,37.459955,126.927725
삼성산주공아파트,관악구,37.461345,126.925109
산복터널.관악산휴먼시아2단지,관악구,37.458697,126.922015
산복터널.관악산휴먼시아2단지,관악구,37.4590812203,126.9225758449
삼성산주공아파트,관악구,37.4611062672,126.9250910137
산장아파트,관악구,37.4597961436,126.9275003475
삼성산성지,관악구,37.4586127523,126.9298863649
신우초등학교,관악구,37.4624107186,126.9319560545
미림여고.미림마이스터고등학교,관악구,37.4651129483,126.9316212418
미림고개.고시촌입구,관악구,37.4677922169,126.9320992763
서울대벤처타운역,관악구,37.4706929498,126.9335914518
쑥고개,관악구,37.478535389,126.9403975075
e편한세상서울대입구아파트,관악구,37.4795321814,126.9428290096
영락고교.영락의료과학고,관악구,37.4792126295,126.9456223075
생모리츠타운,관악구,37.479050171,126.947758707
관악구청,관악구,37.4787271125,126.9507973533
생모리츠타운,관악구,37.4792461009,126.9476681239
